,school,team,city,state_province,primary_conference,ncaa,team_page
196,State University of New York at Buffalo,Bulls,Buffalo,NY,Mid-American Conference,1,/wiki/South_Florida_Bulls
197,State University of New York at Stony Brook,Seawolves,Stony Brook,NY,Colonial Athletic Association,1,/wiki/Stony_Brook_Seawolves
198,Stephen F. Austin State University,Lumberjacks,Nacogdoches,TX,Western Athletic Conference,1,/wiki/Stephen_F._Austin_Lumberjacks_and_Ladyjacks
199,Stetson University,Hatters,DeLand,FL,ASUN Conference,1,/wiki/Stetson_Hatters
200,Syracuse University,Orange,Syracuse,NY,Atlantic Coast Conference,1,"/wiki/Orange,_California"
201,Temple University,Owls,Philadelphia,PA,American Athletic Conference,1,
202,Tennessee State University,Tigers,Nashville,TN,Ohio Valley Conference,1,/wiki/Pacific_Tigers
203,Tennessee Technological University,Golden Eagles,Cookeville,TN,Ohio Valley Conference,1,/wiki/Southern_Miss_Golden_Eagles
204,Texas A&M University,Aggies,College Station,TX,Southeastern Conference,1,/wiki/Utah_State_Aggies
205,Texas A&M University–Corpus Christi,Islanders,Corpus Christi,TX,Southland Conference,1,/wiki/Texas_A%26M%E2%80%93Corpus_Christi_Islanders
206,Texas Christian University,Horned Frogs,Fort Worth,TX,Big 12 Conference,1,/wiki/TCU_Horned_Frogs
207,Texas Southern University,Tigers,Houston,TX,Southwestern Athletic Conference,1,/wiki/Pacific_Tigers
208,Texas State University,Bobcats,San Marcos,TX,Sun Belt Conference,1,/wiki/Ohio_Bobcats
209,Texas Tech University,Red Raiders,Lubbock,TX,Big 12 Conference,1,/wiki/Texas_Tech_Red_Raiders
210,"The Citadel, The Military College of South Carolina",Bulldogs,Charleston,SC,Southern Conference,1,/wiki/Yale_Bulldogs
211,The College of William and Mary in Virginia,Tribe,Williamsburg,VA,Colonial Athletic Association,1,/wiki/William_%26_Mary_Tribe
212,The George Washington University,Colonials,Washington,DC,Atlantic 10 Conference,1,/wiki/George_Washington_Colonials
213,The Ohio State University,Buckeyes,Columbus,OH,Big Ten Conference,1,/wiki/Ohio_State_Buckeyes
214,The Ohio University,Bobcats,Athens,OH,Mid-American Conference,1,/wiki/Ohio_Bobcats
215,The Pennsylvania State University,Nittany Lions,State College,PA,Big Ten Conference,1,/wiki/Penn_State_Nittany_Lions
216,The University of Akron,Zips,Akron,OH,Mid-American Conference,1,/wiki/Akron_Zips
217,The University of Alabama,Crimson Tide,Tuscaloosa,AL,Southeastern Conference,1,/wiki/Alabama_Crimson_Tide
218,The University of New Mexico,Lobos,Albuquerque,NM,Mountain West Conference,1,/wiki/New_Mexico_Lobos
219,The University of Tennessee at Chattanooga,Mocs,Chattanooga,TN,Southern Conference,1,/wiki/Chattanooga_Mocs
220,The University of Tennessee at Martin,Skyhawks,Martin,TN,Ohio Valley Conference,1,/wiki/Stonehill_Skyhawks
221,"The University of Tennessee, Knoxville",Volunteers,Knoxville,TN,Southeastern Conference,1,/wiki/Tennessee_Volunteers
222,The University of Texas at Arlington,Mavericks,Arlington,TX,Sun Belt Conference,1,/wiki/Omaha_Mavericks
223,The University of Texas at Austin,Longhorns,Austin,TX,Big 12 Conference,1,/wiki/Texas_Longhorns
224,The University of Texas at El Paso,Miners,El Paso,TX,Conference USA,1,/wiki/UTEP_Miners
225,The University of Texas at San Antonio,Roadrunners,San Antonio,TX,Conference USA,1,/wiki/UTSA_Roadrunners
226,The University of Texas Rio Grande Valley,Vaqueros,Edinburg,TX,Western Athletic Conference,1,/wiki/Texas%E2%80%93Rio_Grande_Valley_Vaqueros
227,The University of Tulsa,Golden Hurricane,Tulsa,OK,American Athletic Conference,1,/wiki/Tulsa_Golden_Hurricane
228,The University of Vermont and State Agricultural College,Catamounts,Burlington,VT,America East Conference,1,/wiki/Western_Carolina_Catamounts
229,Towson University,Tigers,Towson,MD,Colonial Athletic Association,1,/wiki/Pacific_Tigers
230,Troy University,Trojans,Troy,AL,Sun Belt Conference,1,/wiki/USC_Trojans
231,Tulane University of Louisiana,Green Wave,New Orleans,LA,American Athletic Conference,1,/wiki/Tulane_Green_Wave
232,United States Air Force Academy,Falcons,Colorado Springs,CO,Mountain West Conference,1,/wiki/Air_Force_Falcons
